Record#;Publisher;Publication Title;UKB APC discount %;HOOP1;HOOP2;HOOP3;Impact Factor 2014;JCR Quartile 2014;"ISSN
print";"ISSN
Online";Collection Code;Collection 2016;URL;;JCR subject category;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26052;Elsevier;Clinical Breast Cancer;100;Gezondheid;;;2.107;Q3;1526-8209;1526-8209;"ELS01;ELS05";"ELSEVIER Freedom Collection;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/15268209; ;"INTEGRATIVE & COMPLEMENTARY MEDICINE;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26053;Elsevier;Clinical Colorectal Cancer;100;Gezondheid;;;2.813;Q3;1533-0028;1533-0028;"ELS01;ELS05";"ELSEVIER Freedom Collection;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/15330028; ;"ONCOLOGY;ENDOCRINOLOGY & METABOLISM;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26054;Elsevier;Clinical Genitourinary Cancer;100;Gezondheid;;;2.322;Q3;1558-7673;1558-7673;"ELS01;ELS05";"ELSEVIER Freedom Collection;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/15587673; ;"BIOLOGY;GENETICS & HEREDITY;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20583;Elsevier;Clinical Immunology;100;Gezondheid;;;3.672;Q2;1521-6616;1521-7035;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/15216616; ;"PSYCHOLOGY, DEVELOPMENTAL;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26055;Elsevier;Clinical Lung Cancer;100;Gezondheid;;;3.104;Q2;1525-7304;1525-7304;"ELS01;ELS05";"ELSEVIER Freedom Collection;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/15257304; ;"GENETICS & HEREDITY;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11714;Elsevier;Clinical Microbiology Newsletter;100;Gezondheid ;;;;;0196-4399;0196-4399;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/01964399; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11773;Elsevier;Comparative Immunology, Microbiology and Infectious Diseases;100;Gezondheid;;;2.015;Q3;0147-9571;0147-9571;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/01479571; ;"COMPUTER SCIENCE, INFORMATION SYSTEMS;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11887;Elsevier;Critical Reviews in Oncology/Hematology;100;Gezondheid;;;4.027;Q2;1040-8428;1040-8428;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/10408428; ;"SUBSTANCE ABUSE;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11910;Elsevier;Current Opinion in Immunology;100;Gezondheid;;;7.478;Q1;0952-7915;0952-7915;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/09527915; ;"CRIMINOLOGY & PENOLOGY;LAW;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11911;Elsevier;Current Opinion in Microbiology;100;Gezondheid;Natuur;;5.900;Q1;1369-5274;1369-5274;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/13695274; ;"APPLIED LINGUISTICS;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22444;Elsevier;Current Opinion in Virology;100;Gezondheid;Natuur;;6.064;Q1;1879-6257;1879-6257;"ELS01;ELS05";"ELSEVIER Freedom Collection;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/18796257; ;"PSYCHIATRY;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11920;Elsevier;Current Problems in Cancer;100;Gezondheid;;;0.526;Q4;0147-0272;0147-0272;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/01470272; ;"ENGINEERING, CHEMICAL;MINERALOGY;MINING & MINERAL PROCESSING;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11921;Elsevier;Current Problems in Cardiology;100;Gezondheid;;;3.000;Q2;0146-2806;0146-2806;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/01462806; ;"MATERIALS SCIENCE, MULTIDISCIPLINARY;METALLURGY & METALLURGICAL ENGINEERING;MINING & MINERAL PROCESSING;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11933;Elsevier;Cytokine;100;Gezondheid;Natuur;;2.664;Q3;1043-4666;1096-0023;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/10434666; ;"ENGINEERING, ELECTRICAL & ELECTRONIC;ENGINEERING, MECHANICAL;OPTICS;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20606;Elsevier;Cytokine and Growth Factor Reviews;100;Gezondheid;Natuur;;5.357;Q1;1359-6101;1359-6101;"ELS01;ELS05";"ELSEVIER Freedom Collection;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/13596101; ;"DENTISTRY, ORAL SURGERY & MEDICINE;SURGERY;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11953;Elsevier;Developmental and Comparative Immunology;100;Gezondheid;;;2.815;Q2;0145-305X;0145-305X;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/0145305X; ;"SOCIAL SCIENCES, INTERDISCIPLINARY;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
